Done,Name,Alternative name,Category,Variation,Encoding Shapes,Layout,comparison,composition,distribution,relationship,,Dimensions,Numeric,Ordinal,Color numeric scale,Graph links,Hierarchy,Range
FALSE,Bullet,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Cluster Analysis,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pareto,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Flow,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Euler,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Area,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Venn,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Solid Gauge,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Candlestick,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,TRUE
FALSE,Icicle,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Contour,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Phase,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Polar,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Swimlane Flow,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Organizational,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Kangi,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Target,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Column Range,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pyramid,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bag,Bivariate Boxplot,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Tally,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Comparison,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Ternary Contour,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Process,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Span,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Ternary,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Area,,chart,range,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Area,,chart,radial,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Slope,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Spline,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,chart,half circle,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,triangle,triangle,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bubble,,chart,,circle,force layout,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Dumbbell,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Connection,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Cartogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Route,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,horizontal,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pin,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bump,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Butterfly,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sparkline,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Network,,graph,,,force layout,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Opposite,,diagram,,,cartesian,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Area,,chart,stacked ordered,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Waffle,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Chord Diagram,,diagram,non-ribbon,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,curved,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Counter,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Line,Timeline,,timeline,-,line,FALSE,FALSE,FALSE,FALSE,,1,1,,FALSE,FALSE,FALSE,FALSE
FALSE,Heat Map - Circular,,,,,polar,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Line,,graph,stepped,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Trendline,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,,Icon and Number,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,chart,icon,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Counter,,,with icon,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,,,geo,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pie,,chart,,,geo,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,Pictorial Bar Chart,chart,,icon,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,,Illustration Diagram,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Renko,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Marimekko,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Taylor,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Column Sparkline,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Win-loss Sparkline,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Matrix,Matrix Diagram (Y-Shaped),diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,,Dot Density,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sequence,Step by Step,diagram,,,line,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Heat map - Spiral,,,,,spiral,FALSE,FALSE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,Multiple series 3D Bar,chart,,,,TRUE,FALSE,FALSE,FALSE,,3,1,2,FALSE,FALSE,FALSE,FALSE
FALSE,Pie,,chart,multi-level,,polar,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
